engine_temp_C,oil_pressure_psi,brake_pad_mm,battery_voltage_V,mileage_k,tire_pressure_psi,severity
89.5,39.8,6.0,12.73,14.0,30.5,Normal
95.7,39.8,2.7,12.58,29.0,32.8,Warning
89.2,46.0,7.4,12.28,157.0,33.6,Normal
96.6,46.5,11.5,13.01,55.0,29.9,Normal
94.7,48.4,8.6,12.5,22.0,28.6,Normal
93.9,38.0,10.9,11.87,24.0,33.4,Warning
88.9,46.4,7.1,13.14,76.0,29.4,Normal
103.7,44.5,11.0,12.52,34.0,34.7,Normal
88.5,32.8,6.3,13.2,157.0,30.4,Normal
92.1,30.3,4.6,13.36,102.0,35.0,Normal
107.6,45.6,9.2,12.14,185.0,33.3,Normal
94.7,23.4,4.0,12.7,103.0,34.7,Warning
96.4,47.4,3.2,12.95,135.0,34.0,Warning
105.1,38.7,3.4,12.72,28.0,36.3,Critical
89.9,41.9,8.3,12.98,43.0,36.2,Normal
81.7,43.5,10.3,13.3,30.0,32.1,Normal
101.8,31.5,9.8,11.76,80.0,32.8,Warning
96.5,29.3,8.5,12.62,17.0,35.1,Warning
86.5,43.7,7.6,13.66,167.0,26.5,Warning
105.7,25.6,7.4,12.49,94.0,36.6,Normal
97.7,48.8,8.3,12.8,191.0,34.7,Normal
78.3,37.5,2.6,13.62,155.0,28.8,Warning
70.0,49.2,4.3,13.26,142.0,36.2,Warning
99.4,38.7,8.9,11.99,145.0,32.8,Warning
109.7,30.9,6.3,12.59,154.0,30.6,Warning
116.1,47.5,10.5,12.67,29.0,31.8,Warning
84.0,32.3,6.3,12.43,113.0,37.1,Normal
90.2,35.9,9.9,12.55,48.0,34.6,Normal
97.2,30.9,9.8,12.45,130.0,31.2,Normal
103.0,44.6,10.5,12.98,22.0,31.2,Normal
92.9,42.3,6.5,12.2,35.0,33.6,Normal
97.0,41.3,8.3,12.38,19.0,34.2,Normal
83.9,30.9,10.3,12.53,74.0,29.8,Normal
87.1,39.8,6.6,12.05,135.0,34.1,Normal
103.5,49.3,8.4,12.79,102.0,36.4,Normal
106.0,44.0,3.5,12.34,141.0,40.4,Warning
92.9,59.4,2.6,13.07,5.0,32.5,Warning
88.9,58.1,9.2,12.1,95.0,33.8,Normal
93.9,34.4,4.0,12.62,75.0,35.1,Normal
91.5,41.1,10.6,11.85,47.0,38.6,Warning
88.2,48.9,5.9,11.97,125.0,31.1,Warning
93.6,46.9,5.0,12.52,59.0,32.9,Normal
102.8,49.9,4.8,12.61,13.0,31.8,Critical
106.3,31.8,6.2,13.69,124.0,33.9,Normal
95.6,47.5,5.5,12.74,108.0,26.7,Critical
85.3,39.1,5.1,12.44,8.0,32.6,Normal
95.9,47.8,3.8,12.38,128.0,30.2,Warning
90.6,46.2,10.1,12.6,160.0,29.5,Normal
106.8,37.0,11.7,12.37,186.0,32.8,Normal
88.8,43.3,7.6,11.94,187.0,31.5,Warning
98.9,45.6,6.2,12.21,162.0,33.2,Normal
96.2,39.8,11.3,12.12,177.0,35.5,Normal
101.2,39.8,8.8,12.18,151.0,36.4,Normal
99.4,35.4,2.4,10.97,22.0,32.0,Critical
91.0,40.3,8.2,12.97,82.0,30.4,Normal
99.4,36.1,3.6,12.39,108.0,34.3,Warning
76.4,39.8,11.0,12.68,45.0,34.4,Normal
89.8,46.3,9.6,12.31,192.0,34.5,Normal
96.6,35.8,9.8,12.9,32.0,40.0,Warning
89.4,60.8,11.6,12.48,134.0,34.7,Normal
94.8,39.8,2.5,13.14,45.0,33.1,Warning
87.2,52.5,4.0,12.61,81.0,30.6,Critical
101.3,41.6,10.4,12.96,83.0,31.3,Normal
93.1,37.6,8.5,12.91,127.0,32.5,Normal
94.2,39.7,6.6,12.22,185.0,35.7,Normal
89.7,38.7,7.1,12.89,73.0,26.3,Warning
112.6,39.8,2.4,13.22,78.0,33.4,Critical
90.7,40.2,10.1,12.92,130.0,37.2,Normal
84.1,48.9,3.1,12.35,95.0,34.0,Warning
91.4,42.7,4.9,12.2,160.0,33.1,Warning
90.6,30.4,4.1,11.99,67.0,35.8,Warning
102.0,42.2,8.0,12.89,80.0,33.9,Normal
95.3,43.6,2.6,12.71,116.0,34.8,Warning
96.7,31.1,2.0,12.98,177.0,32.1,Critical
93.9,40.9,6.5,11.99,40.0,35.0,Warning
99.8,20.7,3.8,12.65,32.0,35.7,Warning
93.0,40.8,11.1,13.28,18.0,34.7,Normal
89.4,43.7,2.1,12.88,46.0,33.6,Critical
90.2,38.6,8.6,12.16,94.0,34.5,Normal
116.6,41.6,2.7,11.59,175.0,35.6,Warning
82.1,26.9,5.2,12.92,157.0,31.0,Normal
87.2,32.7,4.1,12.12,19.0,32.4,Normal
97.3,44.2,3.8,12.29,179.0,33.7,Warning
93.7,45.8,6.9,12.88,40.0,36.8,Normal
78.5,47.6,10.5,12.86,112.0,26.3,Warning
102.3,32.1,5.7,12.5,189.0,32.7,Normal
81.5,29.6,11.8,12.22,34.0,31.4,Normal
109.3,46.9,5.7,12.71,200.0,35.3,Warning
94.6,44.5,9.0,13.38,86.0,32.9,Normal
86.9,45.2,6.5,12.83,160.0,33.0,Normal
95.0,39.8,10.3,12.52,191.0,36.3,Normal
99.8,34.7,2.8,13.17,65.0,33.3,Warning
82.7,35.9,6.6,12.1,132.0,26.1,Warning
79.5,49.0,7.6,12.49,148.0,38.1,Normal
106.0,39.0,10.1,11.83,77.0,32.1,Warning
103.1,31.6,11.3,12.73,36.0,35.3,Normal
95.8,39.5,2.3,12.66,108.0,33.3,Critical
98.8,38.4,11.8,13.07,56.0,29.0,Normal
94.2,32.3,8.4,13.69,72.0,27.2,Warning
94.9,35.4,7.4,12.23,181.0,35.2,Normal
101.3,35.5,7.9,12.82,83.0,36.4,Normal
107.4,40.2,9.2,12.25,50.0,32.8,Normal
93.7,33.4,6.8,13.03,49.0,28.7,Normal
87.0,43.9,6.7,12.08,133.0,33.2,Normal
83.2,46.1,5.5,12.49,96.0,28.1,Normal
103.9,28.9,3.0,12.46,192.0,32.7,Warning
92.0,25.6,6.5,13.95,192.0,38.5,Normal
91.3,58.6,3.4,12.61,129.0,33.0,Warning
85.5,46.1,5.5,12.81,40.0,31.2,Normal
89.7,57.7,8.9,12.96,187.0,35.9,Normal
87.7,36.2,8.0,11.71,9.0,31.8,Warning
112.1,48.1,7.4,13.55,10.0,30.2,Warning
112.0,56.9,5.6,11.6,52.0,35.5,Warning
98.4,29.9,10.0,12.45,169.0,33.4,Normal
96.6,47.9,9.9,12.95,106.0,33.6,Normal
98.3,44.6,11.0,12.86,138.0,37.4,Normal
83.1,50.4,6.9,12.44,12.0,29.9,Normal
102.2,34.3,11.8,13.06,64.0,30.1,Normal
102.3,30.5,5.2,12.73,130.0,30.4,Normal
106.7,39.0,7.8,13.32,85.0,32.2,Normal
97.0,48.9,11.2,12.55,10.0,33.0,Normal
90.5,34.8,5.6,13.22,156.0,34.5,Normal
85.1,48.0,12.0,12.37,30.0,35.3,Normal
92.9,34.3,7.2,12.58,8.0,38.8,Normal
85.8,37.8,3.4,12.62,140.0,32.4,Warning
94.7,43.5,9.3,13.16,9.0,26.9,Warning
96.6,37.6,8.6,11.66,37.0,38.5,Warning
96.8,41.9,10.3,12.44,132.0,28.9,Normal
88.7,29.9,5.9,12.61,151.0,32.2,Normal
94.5,34.3,4.8,12.61,143.0,33.0,Normal
103.7,44.7,3.6,13.06,25.0,29.8,Warning
104.8,37.1,5.4,12.98,137.0,33.3,Normal
80.4,38.6,9.1,12.14,84.0,34.5,Normal
89.0,54.4,7.9,12.61,27.0,38.1,Normal
97.1,31.4,4.0,11.97,28.0,34.9,Warning
92.0,32.6,7.4,13.27,30.0,33.2,Normal
96.1,49.1,8.1,13.08,29.0,36.5,Normal
96.6,51.0,9.1,13.03,135.0,37.3,Normal
83.7,47.1,3.6,11.97,148.0,35.3,Warning
104.4,31.4,3.8,13.7,142.0,31.2,Warning
100.4,47.3,11.8,12.23,92.0,31.9,Normal
96.8,39.8,11.3,12.82,182.0,38.5,Normal
97.9,28.5,8.3,12.3,116.0,34.6,Normal
97.6,38.0,5.8,12.57,44.0,28.2,Normal
87.3,44.1,4.9,12.14,98.0,34.1,Normal
92.7,42.8,9.9,13.65,109.0,32.2,Normal
91.4,38.5,2.1,12.72,193.0,32.9,Critical
91.5,39.8,9.2,13.04,99.0,33.4,Normal
112.0,30.8,2.9,11.64,150.0,32.4,Normal
104.8,29.1,7.6,12.4,91.0,30.7,Normal
88.5,34.1,6.9,12.37,162.0,35.1,Normal
99.0,37.1,6.3,11.63,112.0,36.3,Warning
84.1,35.7,10.7,12.6,29.0,35.1,Normal
76.0,48.2,2.6,11.58,40.0,36.0,Warning
89.7,43.1,2.6,12.02,196.0,32.5,Warning
106.0,46.6,5.6,12.82,29.0,34.3,Normal
79.5,42.2,8.2,12.59,24.0,34.4,Normal
102.9,25.8,2.5,12.59,43.0,32.8,Warning
99.6,53.7,4.0,13.26,131.0,33.0,Warning
93.6,44.2,4.4,12.96,172.0,30.1,Normal
91.8,34.6,6.6,11.67,18.0,31.0,Warning
95.8,29.4,7.5,12.77,140.0,37.0,Normal
109.2,44.1,9.5,12.96,176.0,32.4,Warning
104.9,31.0,10.1,13.03,47.0,36.4,Normal
92.8,34.9,7.7,12.4,194.0,30.9,Normal
95.8,27.8,2.1,12.75,155.0,38.5,Critical
94.3,50.7,11.0,12.36,99.0,33.2,Normal
91.3,48.4,6.9,12.77,53.0,35.9,Normal
91.9,22.6,9.3,12.48,22.0,32.9,Warning
81.2,50.4,7.8,12.36,95.0,33.1,Normal
100.1,30.8,2.0,12.52,159.0,36.4,Critical
93.0,44.8,7.0,11.96,57.0,33.7,Warning
102.3,40.0,3.1,12.52,173.0,32.6,Warning
96.4,42.4,5.8,13.53,76.0,32.9,Normal
87.0,44.9,12.0,11.64,61.0,34.5,Warning
95.3,39.5,4.0,12.28,28.0,32.0,Normal
101.4,46.6,3.9,11.31,60.0,26.5,Warning
93.5,28.8,4.2,11.09,74.0,34.6,Normal
106.3,42.8,8.5,13.38,13.0,29.8,Normal
