vehicle_id,engine_temp_C,oil_pressure_psi,brake_pad_mm,battery_voltage_V,mileage_k,tire_pressure_psi,severity
VH-01132,89.5,,6.0,12.73,14.0,30.5, normal 
VH-06896,95.7,,2.7,12.58,29.0,32.8,Warning
VH-07002,89.2,46.0,7.4,12.28,157.0,33.6,Normal
VH-04236,96.6,46.5,11.5,13.01,55.0,29.9,Normal
VH-02629,94.7,48.4,8.6,12.5,22.0,28.6,Normal
VH-05359,93.9,38.0,10.9,11.87,24.0,33.4,Warning
VH-01320,88.9,46.4,7.1,13.14,76.0,29.4,Normal
VH-05021,103.7,44.5,11.0,12.52,34.0,34.7,Normal
VH-02199,88.5,32.8,6.3,13.2,157.0,30.4,Normal
VH-00102,92.1,30.3,4.6,13.36,102.0,35.0,Normal
VH-02855,107.6,45.6,9.2,12.14,185.0,33.3,Normal
VH-06493,94.7,23.4,4.0,12.7,103.0,34.7,Warning
VH-00121,96.4,47.4,3.2,12.95,135.0,34.0,Warning
VH-02578,105.1,38.7,3.4,12.72,28.0,36.3,Critical
VH-02810,89.9,41.9,8.3,12.98,43.0,36.2, normal 
VH-01790,81.7,43.5,10.3,13.3,30.0,32.1,Normal
VH-06181,101.8,31.5,9.8,11.76,80.0,32.8,Warning
VH-02125,96.5,29.3,8.5,12.62,17.0,35.1,WARNING
VH-07824,86.5,43.7,7.6,13.66,167.0,26.5,Warning
VH-00576,105.7,25.6,7.4,12.49,94.0,36.6,Normal
VH-00561,97.7,48.8,8.3,12.8,191.0,34.7, normal 
VH-04900,78.3,37.5,2.6,13.62,155.0,28.8,Warning
VH-00949,70.0,49.2,4.3,13.26,142.0,36.2,Warning
VH-00374,99.4,38.7,8.9,11.99,145.0,32.8,Warning
VH-00247,109.7,30.9,6.3,12.59,154.0,30.6,Warning
VH-02775,116.1,47.5,10.5,12.67,29.0,31.8,Warning
VH-01487,84.0,32.3,6.3,12.43,113.0,37.1,Normal
VH-00112,90.2,35.9,9.9,12.55,48.0,34.6,Normal
VH-05816,97.2,30.9,9.8,12.45,130.0,31.2,Normal
VH-01260,103.0,44.6,10.5,12.98,22.0,31.2,Normal
VH-06429,92.9,42.3,6.5,12.2,35.0,33.6,Normal
VH-01285,97.0,41.3,8.3,12.38,19.0,34.2,Normal
VH-01442,83.9,30.9,10.3,12.53,74.0,29.8,Normal
VH-05264,87.1,,6.6,12.05,135.0,34.1, normal 
VH-00797,103.5,49.3,8.4,12.79,102.0,36.4,Normal
VH-07350,106.0,44.0,3.5,12.34,141.0,40.4,Warning
VH-05418,92.9,59.4,2.6,13.07,5.0,32.5,Warning
VH-05147,88.9,58.1,9.2,12.1,95.0,33.8,Normal
VH-04411,93.9,34.4,4.0,12.62,75.0,35.1,Normal
VH-04300,91.5,41.1,10.6,11.85,47.0,38.6,Warning
VH-05647,88.2,48.9,5.9,11.97,125.0,31.1,Warning
VH-03024,93.6,46.9,5.0,12.52,59.0,32.9,Normal
VH-01041,102.8,49.9,4.8,,13.0,31.8,Critical
VH-02587,106.3,31.8,6.2,13.69,124.0,33.9,Normal
VH-03679,95.6,47.5,5.5,12.74,108.0,26.7,Critical
VH-06989,85.3,39.1,5.1,12.44,8.0,32.6,Normal
VH-01739,95.9,47.8,3.8,12.38,128.0,30.2,Warning
VH-05366,90.6,46.2,10.1,12.6,160.0,29.5,Normal
VH-02572,106.8,37.0,11.7,12.37,186.0,32.8,Normal
VH-07128,88.8,43.3,7.6,11.94,187.0,31.5,Warning
VH-05465,98.9,45.6,6.2,12.21,162.0,33.2,Normal
VH-05724,96.2,,11.3,12.12,177.0,35.5,Normal
VH-03113,101.2,,8.8,12.18,151.0,36.4,Normal
VH-03773,99.4,35.4,2.4,10.97,22.0,32.0,Critical
VH-00158,91.0,40.3,8.2,12.97,82.0,30.4,Normal
